iso_a3,wgt,more_selfish,more_criminal,gov_should_reduce_inequality,inequality_unfair,WP1219,WP1220,WP3117,income_2,WP14
EGY,2.432896523256652,5,5,5,5,2,18,2,8470.814302748035,1
EGY,0.35820654914071587,NA,NA,NA,NA,2,55,1,2117.7035756870087,2
EGY,0.8422369991698837,NA,NA,2,4,1,54,2,50824.885816488204,2
EGY,0.7164130982814317,2,NA,5,3,2,61,1,2753.014648393111,1
EGY,2.231683482629777,NA,NA,5,5,2,23,1,12706.221454122051,1
EGY,2.6236348888700896,NA,5,5,5,1,20,2,8047.273587610633,2
EGY,1.417567700887298,4,5,5,5,2,37,2,8470.814302748035,2
EGY,0.8974546338909175,NA,NA,5,5,1,36,1,4235.407151374017,2
EGY,0.7887295151549762,4,NA,5,5,1,40,1,8470.814302748035,1
EGY,0.9270956071692229,NA,4,5,5,1,64,1,6353.1107270610255,2
EGY,1.1715968940417252,NA,1,5,5,2,23,3,33883.25721099214,2
EGY,1.0815774452021913,NA,NA,2,4,1,62,2,63531.10727061026,3
EGY,0.6180637381128157,NA,NA,5,5,1,72,1,7411.96251490453,3
EGY,1.2361274762256313,NA,NA,3,3,1,59,1,6353.1107270610255,2
EGY,0.6180637381128157,NA,NA,5,5,1,52,1,3811.8664362366153,2
EGY,0.35820654914071587,NA,NA,4,4,2,70,1,4235.407151374017,3
EGY,0.9450451339248647,1,NA,5,5,2,34,2,8470.814302748035,3
EGY,0.8153091136386151,NA,NA,5,5,1,36,2,6353.1107270610255,1
EGY,0.8926733930519107,3,NA,5,5,2,28,1,2117.7035756870087,1
EGY,2.432896523256652,4,NA,5,5,2,17,2,8470.814302748035,1
EGY,1.4328261965628635,NA,NA,5,5,2,52,1,12282.680738984649,6
EGY,1.3519718065027393,3,NA,5,5,1,56,3,25412.442908244102,6
EGY,2.098907911109938,5,5,5,5,1,20,2,13553.302884396855,6
EGY,1.8246723924424892,NA,NA,4,5,2,16,2,3388.3257210992138,1
EGY,0.5983030892606118,2,5,5,5,1,37,1,12706.221454122051,1
EGY,2.098907911109938,NA,5,5,5,1,18,2,6353.1107270610255,1
EGY,1.2136008066122097,NA,NA,5,5,2,34,2,14823.92502980906,2
EGY,1.1551904666742492,5,NA,5,5,1,17,1,12706.221454122051,2
EGY,0.6935080372087912,NA,NA,5,5,2,34,1,8470.814302748035,2
EGY,0.8422369991698837,4,NA,5,5,1,54,2,10588.517878435043,6
EGY,0.9762579178402069,NA,4,5,4,2,67,2,12706.221454122051,2
EGY,1.3476797258078281,5,NA,5,5,1,24,3,14823.92502980906,2
EGY,0.9142360582154846,5,NA,NA,5,2,44,1,5082.48858164882,1
EGY,0.9450451339248647,1,3,5,5,2,38,2,6353.1107270610255,2
EGY,0.9142360582154846,NA,NA,5,5,2,46,1,16941.62860549607,1
EGY,2.098907911109938,1,NA,2,2,1,22,2,12706.221454122051,2
EGY,0.6268416999471198,5,NA,5,5,2,60,3,21177.035756870086,6
EGY,1.7853467861038215,5,NA,NA,5,2,17,1,5082.48858164882,2
EGY,1.6844739983397674,NA,4,5,5,1,54,2,12706.221454122051,6
EGY,0.7887295151549762,NA,NA,5,4,1,42,1,10588.517878435043,2
EGY,0.7165357864537805,NA,NA,5,5,1,48,2,6353.1107270610255,2
EGY,0.7164130982814317,NA,NA,NA,NA,2,59,1,6776.6514421984275,2
EGY,0.9142360582154846,NA,NA,5,5,2,40,1,4235.407151374017,2
EGY,2.432896523256652,2,NA,5,5,2,21,2,10588.517878435043,2
EGY,1.1551904666742492,NA,NA,5,5,1,19,1,10588.517878435043,1
EGY,0.9450451339248647,NA,NA,5,5,2,31,2,5082.48858164882,6
EGY,1.049453955554969,3,5,5,5,1,28,2,6776.6514421984275,2
EGY,0.8153091136386151,NA,5,5,5,1,31,2,6776.6514421984275,2
EGY,1.0815774452021913,5,5,5,5,1,51,3,4235.407151374017,2
EGY,1.5741809333324526,NA,NA,5,5,1,28,2,12706.221454122051,2
EGY,1.8246723924424892,5,5,5,5,2,17,2,5082.48858164882,2
EGY,1.216448261628326,2,NA,5,5,2,25,2,1905.9332181183077,2
EGY,0.8153091136386151,NA,3,5,5,1,35,2,5506.029296786222,2
EGY,0.9270956071692229,NA,NA,5,5,1,58,1,5082.48858164882,2
EGY,0.7165357864537805,2,NA,2,4,1,40,2,14823.92502980906,2
EGY,0.6180637381128157,1,NA,5,5,1,57,1,23294.739332557092,2
EGY,0.7887295151549762,1,5,5,5,1,40,1,12706.221454122051,1
EGY,0.5234986999196459,NA,NA,5,5,1,36,3,12706.221454122051,3
EGY,0.35820654914071587,4,NA,5,5,2,57,1,4235.407151374017,2
EGY,0.3582065491086283,NA,NA,5,5,1,64,3,11012.058593572445,3
EGY,0.5234986999196459,NA,NA,5,4,1,31,3,8470.814302748035,3
EGY,0.3582065491086283,NA,NA,5,5,1,53,1,2964.7850059618117,1
EGY,0.8153091136386151,4,NA,4,5,1,33,2,6353.1107270610255,3
EGY,0.5983030892606118,NA,NA,5,5,1,35,1,6353.1107270610255,3
EGY,1.9253174444570806,NA,NA,5,5,1,19,1,8470.814302748035,3
EGY,1.216448261628326,3,NA,5,5,2,28,2,6353.1107270610255,1
EGY,2.098907911109938,NA,NA,5,5,1,24,2,9317.895733022837,3
EGY,0.46007771332324426,3,NA,5,5,1,44,2,6776.6514421984275,3
EGY,1.8246723924424892,NA,NA,5,5,2,19,2,16941.62860549607,2
EGY,0.35820654914071587,NA,NA,5,5,2,60,1,6353.1107270610255,2
EGY,0.6180637381128157,NA,NA,5,5,1,65,1,8470.814302748035,2
EGY,0.9142360582154846,NA,NA,5,5,2,44,1,3176.5553635305128,1
EGY,2.098907911109938,NA,NA,4,5,1,20,2,12706.221454122051,2
EGY,1.216448261628326,NA,NA,5,5,2,26,2,5929.5700119236235,2
EGY,1.216448261628326,NA,4,5,5,2,22,2,4235.407151374017,2
EGY,0.9450451339248647,NA,5,5,5,2,35,2,6776.6514421984275,2
EGY,0.35820654914071587,NA,4,5,5,2,60,1,5929.5700119236235,2
EGY,0.799931333276129,NA,NA,3,3,2,44,2,7200.192157335829,2
EGY,0.6180637381128157,NA,NA,5,5,1,57,1,1270.622145412205,2
EGY,1.216448261628326,3,NA,5,4,2,27,2,14823.92502980906,2
EGY,0.9142360582154846,NA,NA,5,5,2,40,1,10588.517878435043,2
EGY,0.9142360582154846,4,NA,4,5,2,44,1,10588.517878435043,2
EGY,2.098907911109938,5,NA,5,5,1,18,2,8470.814302748035,1
EGY,1.4643868767603108,NA,NA,5,5,2,58,2,25412.442908244102,2
EGY,1.8246723924424892,NA,NA,5,5,2,15,2,8470.814302748035,2
EGY,1.4328261965628635,NA,NA,5,5,2,54,1,8470.814302748035,2
EGY,0.7701269777828322,NA,NA,5,5,1,28,1,8470.814302748035,3
EGY,0.6935080372087912,NA,NA,5,5,2,35,1,7200.192157335829,2
EGY,0.35820654914071587,NA,NA,5,5,2,58,1,4235.407151374017,2
EGY,0.7810645960278166,NA,NA,4,4,2,25,3,12706.221454122051,2
EGY,0.46007771332324426,NA,NA,5,4,1,41,3,12706.221454122051,2
EGY,0.8153091136386151,NA,3,4,3,1,30,2,6353.1107270610255,2
EGY,1.5237267636924745,NA,NA,5,5,2,45,1,21177.035756870086,2
EGY,0.9450451339248647,NA,NA,5,NA,2,33,2,3811.8664362366153,2
EGY,0.35820654914071587,3,NA,5,5,2,59,1,2541.24429082441,1
EGY,2.432896523256652,NA,5,5,5,2,15,2,4235.407151374017,2
EGY,1.1551904666742492,2,NA,NA,NA,1,15,1,8047.273587610633,2
